description,key_skills
"Твои задачи:  Разработка и поддержка технической, проектной и эксплуатационной документации по ГОСТ; Оформление готовых документов, сборка документа или комплекта документации согласно требованиям стандартов; Создание и ведение шаблонов документов в соответствии с требованиями стандартов; Внедрение методов, правил и форматов ведения конструкторской документации, релевантной потребностям проекта; Инвентаризация и актуализация созданных материалов; Подготовка материалов технических презентаций; Взаимодействие с проектной командой.  Что мы ожидаем от будущего коллеги:  Опыт работы техническим писателем от 3-х лет; Знание нормативных документов (ГОСТов, ISO) и других стандартов оформления технической и эксплуатационной документации; Высокий уровень владения пакетом MS Office (Word, Excel, Powerpoint, Visio), в т.ч. и умение работать с шаблонами и стилями документов; Языковая грамотность (стилистика, орфография и пунктуация) и умение связно излагать свои мысли в устной и письменной формах; Опыт взаимодействия с проектной командой; Аналитическое мышление, системность.  Будем рады предложить тебе:  Полное соблюдение ТК РФ; Конкурентную заработную плату по результатам интервью; ДМС с первых дней работы, льготное страхование членов семьи; Минимум бюрократии; Современное оборудование и ПО для комфортной работы; Обучение/сертификация за счет компании (в соответствии с согласованным планом); «Лекторий», в рамках которого приглашенные эксперты делятся профессиональным опытом из различных областей науки. ",MS Visio;ГОСТ;Подготовка презентаций;Техническая документация;разработка нормативных документов;Разработка технической документации;Разработка документации;Внедрение стандартов ISO;Эксплуатационные документы
"Компания «Технологии Успеха» - лидер рынка автоматизации гостинично-ресторанного бизнеса в ЮФО предлагает тебе стать частью нашего дружного коллектива. Будучи IT компанией с 12-летней историей и географией работы по всей России и СНГ, мы являемся разработчиком и производителем программно-аппаратного комплекса (ПАК) ServiceBook, автоматизирующего оказание услуг гостю в отеле: мобильное приложение гостя, мобильные приложения персонала, web-ресурс (система администрирования и управления отелем), электронные замки и другие электронные устройства в номере и на ресепшен отеля. Что нужно делать: - участие в проектной разработке - разработка мобильных приложений - проектирование пользовательского интерфейса/UI/UX   Какие навыки нужны:  Знание Flutter, язык Dart Знание PHP, MySQL, Yii - приветствуется  Условия:  Вы будете развивать социально значимый и коммерчески успешный проект Возможность самореализации и развития Поддерживаем стремление к профессиональному и финансовому росту без «верхней планки». Молодой, активный, дружный, профессиональный коллектив. Оформление по ТК РФ после испытательного срока Пн-пт с 9.00 до 18.00    При обращении:  Подготовьте ссылки на ваши работы c описанием именно вашей части проделанного труда. Согласуйте время собеседования и приходите в хорошем настроении!    Успехов!",Веб-программирование;JavaScript;CSS;MySQL;PHP5;PHP;Веб-дизайн;SQL;ООП;Yii;Разработка ПО;MS SQL;Android;Flutter;Dart
"Обязанности:  Дизайн и верстка полиграфической продукции (каталоги, буклеты, визитки, листовки, баннеры и пр.), разработка рекламных модулей под различное размещение Подготовка макетов разного уровня сложности и под любые технические требования Разработка с нуля логотипов, фирменного стиля, дизайна презентационных материалов (отрисовка, цветокоррекция изображений, обработка и техническая ретушь) Дизайн и проектирование выставочных стендов Проверка готовых макетов, предпечатная подготовка файлов Разработка макетов розничной упаковки продукции Верстка макетов упаковки и маркировки продукции (коробки, стикеры, паспорта)  Требования:  Законченное высшее образование Знание графических программ: Adobe (Photoshop, Illustrator, InDesign, Acrobat Pro), Corel Draw Знание программ Microsoft office (Power Point, Word, Exсel) Опыт работы в сфере дизайна и верстки полиграфических материалов от 2-х лет Опыт подготовки файлов к печати, отрисовки векторных и растровых иллюстраций Высокая скорость выполнения задач, опыт оперативной верстки Личные качества - умение работать в команде, в режиме многозадачности, стрессоустойчивость, внимательность, доброжелательность, коммуникабельность, усидчивость, аккуратность, уравновешенность, способность нести ответственность за выполненную работу.  Условия:   Работа в стабильной Компании Трудоустройство по ТК РФ График работы: 5/2 с 8:30 - до 17:30 ч. Заработная плата выплачивается 2 раза в месяц в строго установленные сроки Комфортная, доброжелательная рабочая атмосфера, корпоративные традиции и праздники  ",Adobe Illustrator;Adobe Photoshop;Adobe InDesign;CorelDRAW;Графический дизайн;Microsoft office (Power Point; Word; Exсel);Предпечатная подготовка;Дизайн полиграфии;Графические редакторы;Грамотная устная и письменная речь;Верстка;Многозадачность;Adobe Design;Создание презентационных материалов о компании;Создание брендбука работодателя;Заинтересованность;Чувство стиля
"Обязанности:  разработка поведенческих моделей; разработка тестового окружения; разработка test-bench; анализ неисправностей; формирование отчётов о неисправностях; проведение регрессивного тестирования.  Требования:  высшее техническое образование; знание языков описания аппаратуры (Verilog,VHDL); опыт написания поведенческих моделей и test-benchesна языках SystemCи/или SystemVerilog; опыт работы с коммерческими симуляторами; опыт работы с одним из языков Python,Perl,TCL; опыт работы с системами контроля версий.  Будет плюсом:  опыт построения системы тестирования, с учётом имеющихся тестов и тестовых сценариев; навыки документирования процесса тестирования; Знание C++.  Условия:  Заработная плата &quot;белая&quot;, итоговый размер обсуждается при встрече в зависимости от квалификации и опыта специалиста. Пятидневная рабочая неделя с понедельника по пятницу. Испытательный срок 3 месяца. Наш адрес: Ленинский проспект дом 51 стр 1 (метро Ленинский проспект)  Должностное лицо для связи по вакансии Хандорин Сергей Павлович",разработка поведенческих моделей;test-bench;Verilog;VHDL;Python;Perl;TCL;Тестирование
"Нужен уверенный PHP программист Symfony, просьба прислать примеры кода из разных слоев приложения (контроллеры, модели, сервисы, консольные команды), желательно содержащего нетривиальную задачу\логику.   Обязанности:  Разработка и поддержка проектов (сложные сервисы и интернет-магазины) Декомпозиция задач  Требования:  Уверенные знания PHP 7.3 + SQL - необходимо уметь писать запросы, профилировать и оптимизировать их; ООП – понимание основ, использование шаблонов проектирования; Unix на уровне пользователя; Желательно опыт работы со сторонними API, взаимодействие с социальными  сетями, платежными системами, складскими программами.  Система контроля версий Git (мы используем GitLab) Опыт работы с Docker Понимание парадигмы MVC  Нам также важно:  Самостоятельность, умение организовать свою работу, оценить объем и сроки Желание писать хороший код и умение разбираться в чужом Ответственный подход к работе и выполнению задач  Условия:  График 5/2 Нефиксированное начало рабочего дня Оформление по ТК РФ, отпуска и больничные оплачиваются Выплаты 2 раза в месяц Лицензионное ПО, всегда хорошее железо, 2 монитора на рабочем месте Свободный дресс-код Молодой и дружный коллектив Современный и комфортный офис, оборудованный всем необходимым Вкусный кофе, чай и снэки    Принципы нашей работы: В основном В2С проекты. Есть как небольшие корпоративные сайты, так и несколько федеральных крупных проектов. Работа над проектами разбита на этапы и распределена на исполнителей внутри компании.",MVC;PHP;Symfony;Git;Gitlab;Docker;ООП;API
"Обязанности: • Подбор команды на проект (проекты на базе 1С)• Выстраивание процесса разработки в команде по Agile (Scrum)• Координация / управление командами разработки (Scrum-мастер)• Общение с бизнес-заказчиком / написание-согласование ТЗ• Составление и согласование дорожной карты проектов• Создание бэклога проекта• Создание и согласование спринтов (бэклога спринта) • Постановка задач команде разработки / контроль сроков выполнения• Планирование / согласование / проведение релизов• Создание и ведение базы знаний проектов Требования: • Опыт работы в роли Scrum Master, Service Delivery Manager или аналогичной роли от года • Опыт успешной имплементации фреймворков Scrum, Kanban • Высокий уровень самоорганизации, наличие желания и навыков самостоятельно выявлять и решать проблемы • Развитое системное мышление • Быстрая самообучаемость • Знание 1С Условия: • Гибкий график работы с ориентацией на результат • Возможны командировки • Оформление по ТК РФ • Премии по результатам работы • Перспективы карьерного роста • Заработная плата обсуждается по итогам собеседования",Agile Project Management;Scrum;Работа в команде;Управление проектами;Управление персоналом;1С: Управление предприятием;Управление командой;Деловая коммуникация;Умение работать в условиях многозадачности
"Обязанности:  Участие в процессе построения Бизнес-плана по розничной сети Банка. Анализ эффективности работы подразделений розничного бизнеса региональной сети. Анализ материалов по управлению эффективностью региональной сети. Согласование материалов по технико-экономическим обоснованиям проектов открытия/ закрытия точек продаж. Анализ административно-управленческих расходов и формирование предложений по их оптимизации. Формирование бизнес-метрики/ бизнес-требования в проектах по управлению эффективностью точек продаж. Формирование данных по фокус-группам для оценки отклонений работы точек продаж от установленного показателя эффективности. Обеспечивать регулярное построение и проведение оценки параметров продаж для региональной сети, нормирование метрик по продажам. Консолидировать данные, обеспечивать построение концепции и визуализации материалов по итогам работы Департамента; Обеспечивать проведение обзора банковских трендов, сбор и анализ информации по трендам банковского бизнеса;  Требования:  Высшее образование. Стаж работы от 5 лет Знание sql, python Написание макросов Построение моделей Глубокие знания статистики и аналитики  Условия:  Трудоустройство согласно Законодательству; Конкурентная заработная плата; Профессиональное обучение и развитие; Добровольное медицинское страхование, льготные условия кредитования; Корпоративная пенсионная программа, материальная помощь; Спортивная жизнь и корпоративные мероприятия; Возможность построить карьеру в ведущем банке России. ",Python;SQL;MS PowerPoint;Анализ бизнес показателей;Анализ данных;Аналитика;Статистический анализ;Сбор и анализ информации;Организация и проведение фокус групп;Работа в условиях многозадачности;Умение анализировать;умение работать с программами Word; Excel; Power Point;Оптимизация процессов;Эффективность
"Обязанности:  Участие в проекте внедрения CRM системы; Взаимодействие с заказчиками, разработчиками, ПМ и тестировщиками в рамках практики гибкой разработки; Сбор и анализ требований бизнес-пользователей; Подготовка технической документации на разработку нового функционала и оптимизацию существующего; Участие в разработке и оптимизации многочисленных интеграций с внутренними и внешними системами; Настройка интерфейса, редактирования объектов и настройка бизнес-процессов в системе; Составление сценариев тестирования и критериев приемки;  Требования:  Знание основных принципов работы в CRM; Знание теории анализа и проектирования бизнес-процессов; Знание SQL (уровень middle: понимать и уметь использовать JOIN, вложенные запросы); Знание основ проектирования БД. Умение построить ER-модель, понимание и использование нормализации при проектировании таблиц; Знание UML / BPMN; Опыт описания интеграционных взаимодействий (SOAP / REST); Понимание структур JSON, XML/XSD; Умение работать в команде, хорошие коммуникативные навыки, аналитический склад ума.  Будет плюсом:  Понимание принципов проектирования систем с разной архитектурой (монолит, микросервисы); Опыт проектирования макетов пользовательских интерфейсов (Figma); Базовое знание HTML; Опыт моделирования исполняемых бизнес-процессов в Camunda Modeler; Понимание термина Web запрос, знание структуры Web запросов; Свободное владение инструментами &quot;Postman&quot;, &quot;SoapUI&quot;.  Условия:   График работы 5/2;   Официальное оформление в соответствии ТК РФ;   Конкурентный уровень дохода: оклад + премии;   Медицинская страховка, страховка для выезжающих за границу;   Доплата к отпускному и больничному листу;   Дополнительные льготы при заключении брака и рождении детей;   Социальная поддержка при сложных жизненных ситуациях;   Льготное кредитование для сотрудников;   Обучение в корпоративном университете банка;   Корпоративная библиотека.  ",BPMN;UML;SQL;JSON;XML;Аналитическое мышление;Agile;SOAP;REST
"Компания  Neovox — один из крупнейших аутсорсинговых контакт-центров, входит в ТОП-5 лидеров рынка. Заказчиками являются государственные организации, ведущие банки, страховые компании, интернет-магазины, логистические компании. Обязанности:   Установка и обслуживание парка вычислительных машин и оргтехники;   Установка, настройка и обновление офисного и прикладного программного обеспечения;   Монтаж и настройка локальных сетей;   Техническая поддержка и консультация пользователей;   Составление отчетов о проделанной работе.   Требования:   Опыт работы администрирования рабочих станций на базе ОС Windows;   Желательно опыт работы с операционными системами UNIX (Debian, Ubuntu, CentOS);   Понимание принципов работы TCP/IP, 7-и уровневой модели OSI;   Навыки сборки, установки, настройки и администрирования ПК;   Навыки установки и настройки периферийного оборудования (принтер, сканер, проектор и т.п.);   Условия:  График работы: 5/2 ; Заработная плата до 40000 рублей; Перспективы карьерного роста; Получение новых профессиональных навыков; Оформление по ТК РФ. ",Настройка ПК;Настройка ПО;Сборка ПК;Windows 7;Настройка сетевых подключений;Администрирование;Офисная техника;Работа с оргтехникой;Офисные программы;Работа с компьютером;Локальные сети;Техническая поддержка;Работа в условиях многозадачности
"Мы - компания «Л-Телеком» - уже на протяжении более 20 лет работаем на рынке предоставления услуг связи. В штате нашей компании успешно трудятся и развиваются более 50 сотрудников.За время своей работы мы освоили все современные технологии предоставления услуг связи. У нас работают квалифицированные сотрудники любящие свою работу, уважающие Клиентов и ценящие их время. В работе мы используем новейшие оборудования ведущих производителей, таких как MikroTik, Eltex, Huawei, Juniper, Ubiquiti, Siklu, что позволяет нам надежно предоставлять услуги высокого качества. И на данный момент наша команда находится в поиске Программиста-разработчика! Наши условия:  Официальное трудоустройство по нормам ТК РФ либо есть возможность работать как ИП; График работы 5/2, полная занятость; Высокая заработная плата от 170.000 руб. на руки; Работа в комфортном и современном офисе, оборудованным всем необходимым по адресу: Каширское ш., 58к2; Готовы рассмотреть вариант удаленного взаимодействия; Возможность быстрого профессионального и карьерного роста.  Что будет входить в Ваши обязанности:  Разработка ПО для автоматизации процессов организации; Создание интерфейса пользователя с использованием QML; Работать с библиотекой Qt.  Наши требования:  Образование не ниже среднего специального или не ниже неполного высшего; Знание C++, понимание принципов ООП, базовых алгоритмов; Навыки использования библиотеки Qt (сигналы/слоты/основные классы); Знание stl (основные контейнеры, алгоритмы); Знание JavaScript, GIT, Linux и последних стандартов C++ приветствуются; Желание профессионально развиваться и развиваться как личность.  Если Вы заинтересованы работать и профессионально развиваться в стабильной и успешной компании, то смело оставляйте свой отклик и с Вами свяжется наш HRD!",Qt;STL;Git;ООП;C++;JavaScript;Алгоритмы и структуры данных;Работа в условиях многозадачности;Оперативный поиск информации в сети Интернет;Умение планировать
"В связи с развитием бизнеса требуется инициативный менеджер продукта. Компания является разработчиком программно-аппаратных решений и системным интегратором на рынке защищенных, ведомственных сетей связи. Если ВЫ:  ставите перед собой высокие цели в жизни имеете опыт работы с корпоративными заказчиками и телеком операторами имеете знания в области телекоммуникаций (IP телефонии, серверных компонент и т.п.) будет преимуществом в работе имеете опыт управления всеми процессами по разработке продукта (создавали рабочий план, распределяли роли, занимались продвижением и реализацией продукта, управление беклогом и пр.) увлекаетесь современными ИТ технологиями умеете просто и увлекательно излагать свои мысли позитивно мыслите цените интересы команды выше собственных ориентированы на конечный результат  мы сможем предложить ВАМ:  интересную работу над развитием высоко-технологичного продукта высокий уровень самостоятельности возможность прямо влиять на выбор направлений для развития продукта  Работа в нашей Компании - это в том числе:  комфортное рабочее место в принадлежащем Компании здании на Васильевском острове; оборудованные места отдыха (чай, кофе, настольные хоккей и футбол); обучение английскому языку с преподавателями; на Ваш выбор любые курсы по повышению квалификации, посещение конференций; на Ваш выбор спортивно-оздоровительные мероприятия (футбол, волейбол, плавание, фитнес); ДМС (оформляется по окончании испытательного срока); консультации с офисным врачом (ведет прием в офисе Компании); дополнительные 4 дня в году на случай плохого самочувствия без оформления больничного листа. ",Умение принимать решения;Ориентация на результат;Системное мышление;Коммуникативные навыки;Product Development;Корпоративные продажи;Управление командой;Project Expert;Управление продажами;Клиентоориентированность
